Organization,primary_role,area_of_expertise,share_personal_experience,scheduling_pref,Preferred dates [January 12-13-14],Preferred dates (choose as many as you would like): [January 19-20-21],Preferred dates (choose as many as you would like): [February 9-10-11],mixer_target_invasive,mixer_location,top_3_research,top_2_management,other_topics
CCE Onondaga,Educator,"Aquatic Plants, Aquatic Animals, Climate Change",No,Two half-days,"1st day, 2nd day, 3rd day","1st day, 2nd day, 3rd day","1st day, 2nd day, 3rd day",1 (unlikely),1 (unlikely),"Successes in incorporating climate change into invasive management,Identification of upcoming invasive species and sleeper species,Climate change impacts on aquatic invasions","Developing watch lists and prioritizing species for listing,Education and outreach",""
National Invasive Species Council,Scientist/Researcher/Academic,"Terrestrial plants, Climate Change","",Two half-days,"1st day, 2nd day, 3rd day","1st day, 2nd day, 3rd day","1st day, 2nd day, 3rd day",2,5 (very likely),"Successes in incorporating climate change into invasive management,Changes in invasive species phenology,Invasive species and climate/fire interactions","Identifying partners across geographies/agencies,Identifying resilient ecological communities",""
Vermont Center for Ecostudies,Scientist/Researcher/Academic,"Climate Change, Terrestrial animals, especially birds","",One full day,"1st day, 2nd day, 3rd day",3rd day,"1st day, 2nd day, 3rd day",5 (very likely),5 (very likely),"Invasion pathways in the context of climate change,Successes in incorporating climate change into invasive management,Invasive species crossing geographic boundaries/range shifts","Identifying resilient ecological communities,Managing a new invader",""
"NYS Office of Parks, Recreation, and Historic Preservation",Resource Manager,"Terrestrial plants, Aquatic Plants, Aquatic Animals, Forest pests/pathogens",Yes,Two half-days,"","","1st day, 2nd day, 3rd day",2,2,"Successes in incorporating climate change into invasive management,Identification of upcoming invasive species and sleeper species,How a changing climate impacts invasive species competition","Developing watch lists and prioritizing species for listing,Identifying resilient ecological communities",""
Brewster Conservation Trust,Resource Manager,Terrestrial plants,No,Two half-days,"1st day, 2nd day, 3rd day","1st day, 2nd day, 3rd day","",5 (very likely),5 (very likely),"Successes in incorporating climate change into invasive management,Identification of upcoming invasive species and sleeper species,Climate change impacts on coastal invasions","Developing watch lists and prioritizing species for listing,Operationalizing NE weed risk assessments to prepare for range shifting invasives,Identifying resilient ecological communities",I want to hear about all of them!
Cary Institute of Ecosystem Studies,Boundary Spanner,"Terrestrial plants, Conservation planning, at risk wildlife",No,Two half-days,"1st day, 2nd day, 3rd day","1st day, 2nd day, 3rd day","1st day, 2nd day, 3rd day",1 (unlikely),4,"Successes in incorporating climate change into invasive management,Identification of upcoming invasive species and sleeper species,How a changing climate impacts invasive species competition","Identifying resilient ecological communities,Education and outreach",""
NISC,Policy Maker,policy-all taxa,"",Two half-days,"1st day, 2nd day, 3rd day","","1st day, 2nd day, 3rd day",3,3,"Invasion pathways in the context of climate change,Invasive species and extreme climate events,Invasive species and climate/fire interactions","Developing watch lists and prioritizing species for listing,Identifying resilient ecological communities",Understanding research needs and data gaps
USFWS,Resource Manager,Terrestrial plants,Yes,Two half-days,"","1st day, 2nd day, 3rd day","1st day, 2nd day, 3rd day",4,4,"Changing efficacy of treatment,How a changing climate impacts invasive species competition","Identifying resilient ecological communities,Managing a new invader",I am always interested in management successes and innovative treatments
USDA Forest Service,Scientist/Researcher/Academic,Forest pests/pathogens,"",Two half-days,"","1st day, 2nd day, 3rd day","1st day, 2nd day, 3rd day",5 (very likely),4,"Changing efficacy of treatment,Invasive species crossing geographic boundaries/range shifts,Changes in invasive species phenology","Identifying partners across geographies/agencies,Identifying resilient ecological communities",Interagency agreements and initiatives for invasive species and climatic responses
U.S. Fish & Wildlife Service,Scientist/Researcher/Academic,"Aquatic Plants, Aquatic Animals, Risk Assessment","",Two half-days,"1st day, 2nd day, 3rd day","","1st day, 2nd day, 3rd day",2,4,"Invasion pathways in the context of climate change,Invasive species and extreme climate events,Climate change impacts on aquatic invasions","Identifying partners across geographies/agencies,Managing a new invader",""
